name,age,season,mv,potential,transfer_no
alassane-plea,19,12,750000,80.86,2
alassane-plea,18,11,675000,80.86,1
breel-embolo,19,16,12600000,80.86,5
breel-embolo,17,14,18000000,80.86,4
breel-embolo,16,13,90000,80.86,3
breel-embolo,15,12,90000,80.86,2
breel-embolo,13,10,90000,80.86,1
christoph-kramer,24,15,10800000,80.86,7
christoph-kramer,22,13,10800000,80.86,6
christoph-kramer,20,11,1350000,80.86,5
christoph-kramer,19,10,67500,80.86,4
christoph-kramer,17,8,45000,80.86,3
christoph-kramer,15,6,45000,80.86,2
christoph-kramer,9,0,45000,80.86,1
denis-zakaria,18,15,3600000,80.86,2
denis-zakaria,17,14,90000,80.86,1
fabian-johnson,26,14,1440000,80.86,8
fabian-johnson,23,11,3600000,80.86,7
fabian-johnson,21,9,1130000,80.86,6
fabian-johnson,18,6,900000,80.86,5
fabian-johnson,17,5,90000,80.86,4
fabian-johnson,16,4,90000,80.86,3
fabian-johnson,14,2,90000,80.86,2
fabian-johnson,8,96,90000,80.86,1
florian-neuhaus,20,17,2700000,80.86,5
florian-neuhaus,19,16,225000,80.86,4
florian-neuhaus,17,14,225000,80.86,3
florian-neuhaus,15,12,225000,80.86,2
florian-neuhaus,10,7,225000,80.86,1
ibrahima-traore,23,11,3600000,80.86,3
ibrahima-traore,21,9,1800000,80.86,2
ibrahima-traore,19,7,113000,80.86,1
jonas-hofmann,23,15,3600000,80.86,7
jonas-hofmann,22,14,3600000,80.86,6
jonas-hofmann,21,13,3600000,80.86,5
jonas-hofmann,19,11,450000,80.86,4
jonas-hofmann,17,9,45000,80.86,3
jonas-hofmann,15,7,45000,80.86,2
jonas-hofmann,12,4,45000,80.86,1
keanan-bennetts,21,20,1170000,80.86,4
keanan-bennetts,19,18,1170000,80.86,3
keanan-bennetts,18,17,1170000,80.86,2
keanan-bennetts,16,15,1170000,80.86,1
lars-stindl,22,10,7650000,80.86,5
lars-stindl,19,7,1580000,80.86,4
lars-stindl,17,5,1580000,80.86,3
lars-stindl,15,3,1580000,80.86,2
lars-stindl,12,0,1580000,80.86,1
laszlo-benes,19,16,1125000,80.86,3
laszlo-benes,18,15,450000,80.86,2
laszlo-benes,14,11,450000,80.86,1
mamadou-doucoure,17,15,450000,80.86,4
mamadou-doucoure,16,14,450000,80.86,3
mamadou-doucoure,15,13,450000,80.86,2
mamadou-doucoure,13,11,450000,80.86,1
marcus-thuram,20,17,8100000,80.86,4
marcus-thuram,18,15,540000,80.86,3
marcus-thuram,16,13,540000,80.86,2
marcus-thuram,15,12,540000,80.86,1
matthias-ginter,20,14,13500000,80.86,5
matthias-ginter,18,12,10800000,80.86,4
matthias-ginter,16,10,180000,80.86,3
matthias-ginter,15,9,180000,80.86,2
matthias-ginter,11,5,180000,80.86,1
max-grun,31,18,135000,80.86,6
max-grun,26,13,225000,80.86,5
max-grun,22,9,900000,80.86,4
max-grun,19,6,45000,80.86,3
max-grun,17,4,45000,80.86,2
max-grun,15,2,45000,80.86,1
nico-elvedi,18,14,3600000,80.86,3
nico-elvedi,17,13,3600000,80.86,2
nico-elvedi,16,12,3600000,80.86,1
oscar-wendt,21,6,2700000,80.86,2
oscar-wendt,20,5,608000,80.86,1
patrick-herrmann,17,8,2700000,80.86,3
patrick-herrmann,15,6,2700000,80.86,2
patrick-herrmann,13,4,2700000,80.86,1
raffael,28,13,1080000,80.86,7
raffael,27,12,7200000,80.86,6
raffael,23,8,8100000,80.86,5
raffael,21,6,3600000,80.86,4
raffael,20,5,1980000,80.86,3
raffael,18,3,1980000,80.86,2
raffael,16,1,1980000,80.86,1
ramy-bensebaini,21,16,7200000,80.86,5
ramy-bensebaini,20,15,1800000,80.86,4
ramy-bensebaini,19,14,900000,80.86,3
ramy-bensebaini,18,13,900000,80.86,2
ramy-bensebaini,18,12,900000,80.86,1
stefan-lainer,23,15,11250000,80.86,8
stefan-lainer,22,14,585000,80.86,7
stefan-lainer,20,12,225000,80.86,6
stefan-lainer,19,11,135000,80.86,5
stefan-lainer,18,10,135000,80.86,4
stefan-lainer,16,8,135000,80.86,3
stefan-lainer,15,7,135000,80.86,2
stefan-lainer,14,6,135000,80.86,1
tobias-sippel,18,6,900000,80.86,5
tobias-sippel,17,5,135000,80.86,4
tobias-sippel,16,4,135000,80.86,3
tobias-sippel,15,3,135000,80.86,2
tobias-sippel,10,98,135000,80.86,1
tobias-strobl,26,16,3150000,80.86,8
tobias-strobl,23,13,1800000,80.86,7
tobias-strobl,22,12,675000,80.86,6
tobias-strobl,21,11,225000,80.86,5
tobias-strobl,19,9,113000,80.86,4
tobias-strobl,17,7,113000,80.86,3
tobias-strobl,15,5,113000,80.86,2
tobias-strobl,10,0,113000,80.86,1
tony-jantschke,17,7,450000,80.86,4
tony-jantschke,16,6,450000,80.86,3
tony-jantschke,15,5,450000,80.86,2
tony-jantschke,11,1,450000,80.86,1
torben-musel,18,17,180000,80.86,4
torben-musel,17,16,180000,80.86,3
torben-musel,16,15,180000,80.86,2
torben-musel,7,6,180000,80.86,1
yann-sommer,21,10,7200000,80.86,6
yann-sommer,20,9,1350000,80.86,5
yann-sommer,18,7,540000,80.86,4
yann-sommer,17,6,90000,80.86,3
yann-sommer,16,5,90000,80.86,2
yann-sommer,14,3,90000,80.86,1
alphonso-davies,16,16,9000000,80.86,1
alvaro-odriozola,22,18,16200000,80.86,3
alvaro-odriozola,21,17,22500000,80.86,2
alvaro-odriozola,18,14,270000,80.86,1
benjamin-pavard,20,16,27000000,80.86,3
benjamin-pavard,19,15,720000,80.86,2
benjamin-pavard,18,14,720000,80.86,1
christian-fruchtl,20,20,630000,80.86,5
christian-fruchtl,17,17,630000,80.86,4
christian-fruchtl,16,16,630000,80.86,3
christian-fruchtl,15,15,630000,80.86,2
christian-fruchtl,14,14,630000,80.86,1
corentin-tolisso,20,14,19800000,80.86,2
corentin-tolisso,18,12,19800000,80.86,1
david-alaba,18,10,3150000,80.86,5
david-alaba,17,9,900000,80.86,4
david-alaba,16,8,180000,80.86,3
david-alaba,15,7,180000,80.86,2
david-alaba,10,2,180000,80.86,1
fiete-arp,19,19,1800000,80.86,4
fiete-arp,17,17,3600000,80.86,3
fiete-arp,15,15,270000,80.86,2
fiete-arp,10,10,270000,80.86,1
ivan-perisic,30,19,15750000,80.86,8
ivan-perisic,26,15,27000000,80.86,7
ivan-perisic,24,13,11700000,80.86,6
ivan-perisic,22,11,6300000,80.86,5
ivan-perisic,20,9,5400000,80.86,4
ivan-perisic,19,8,510000,80.86,3
ivan-perisic,17,6,293000,80.86,2
ivan-perisic,15,4,293000,80.86,1
javi-martinez,18,6,27000000,80.86,2
javi-martinez,17,5,27000000,80.86,1
jerome-boateng,22,10,13500000,80.86,6
jerome-boateng,19,7,13500000,80.86,5
jerome-boateng,18,6,416500,80.86,4
jerome-boateng,17,5,158000,80.86,3
jerome-boateng,15,3,158000,80.86,2
jerome-boateng,14,2,158000,80.86,1
joshua-kimmich,18,13,4500000,80.86,4
joshua-kimmich,17,12,4500000,80.86,3
joshua-kimmich,15,10,4500000,80.86,2
joshua-kimmich,12,7,4500000,80.86,1
joshua-zirkzee,18,19,5670000,80.86,5
joshua-zirkzee,17,18,5670000,80.86,4
joshua-zirkzee,16,17,5670000,80.86,3
joshua-zirkzee,15,16,5670000,80.86,2
joshua-zirkzee,12,13,5670000,80.86,1
kingsley-coman,19,15,18000000,80.86,4
kingsley-coman,18,14,3150000,80.86,3
kingsley-coman,17,13,675000,80.86,2
kingsley-coman,15,11,675000,80.86,1
leon-goretzka,18,13,36000000,80.86,5
leon-goretzka,17,12,4050000,80.86,4
leon-goretzka,16,11,4050000,80.86,3
leon-goretzka,15,10,4050000,80.86,2
leon-goretzka,6,1,4050000,80.86,1
lucas-hernandez,19,15,63000000,80.86,5
lucas-hernandez,18,14,63000000,80.86,4
lucas-hernandez,16,12,63000000,80.86,3
lucas-hernandez,15,11,63000000,80.86,2
lucas-hernandez,11,7,63000000,80.86,1
