,name,age,date,mv
375,marc-lamti,17,18,180000
376,marc-lamti,15,16,180000
377,marcel-johnen,17,19,180000
378,marcel-johnen,16,18,180000
379,marcel-johnen,15,17,180000
380,marcel-lotka,19,20,113000
381,marcel-lotka,17,18,113000
382,marcel-lotka,16,17,113000
383,marcel-lotka,15,16,113000
384,marcel-lotka,14,15,113000
385,marcel-lotka,13,14,113000
386,marco-wolff,22,19,23000
387,marco-wolff,20,17,113000
388,marvin-dose,19,16,113000
389,mitchell-weiser,24,18,10800000
390,mitchell-weiser,21,15,1800000
391,mitchell-weiser,19,13,1350000
392,mitchell-weiser,19,13,900000
393,mitchell-weiser,18,12,900000
394,mitchell-weiser,17,11,900000
395,mitchell-weiser,15,9,900000
396,mitchell-weiser,11,5,900000
397,moussa-diaby,20,19,10800000
398,moussa-diaby,19,18,450000
399,moussa-diaby,19,18,450000
400,moussa-diaby,19,18,450000
401,moussa-diaby,19,17,450000
402,moussa-diaby,17,16,450000
403,moussa-diaby,15,14,450000
404,nadiem-amiri,23,19,15300000
405,nadiem-amiri,18,14,15300000
406,nadiem-amiri,17,13,15300000
407,nadiem-amiri,16,12,15300000
408,nadiem-amiri,15,11,15300000
409,nadiem-amiri,14,10,15300000
410,niklas-lomb,26,19,225000
411,niklas-lomb,25,18,225000
412,niklas-lomb,23,16,315000
413,niklas-lomb,22,15,225000
414,niklas-lomb,22,15,135000
415,niklas-lomb,22,15,135000
416,niklas-lomb,19,12,23000
417,niklas-lomb,17,10,23000
418,niklas-lomb,15,8,23000
419,paulinho,31,19,34200000
420,paulinho,31,19,34200000
421,paulinho,30,18,36000000
422,paulinho,29,17,13500000
423,paulinho,27,15,8100000
424,paulinho,25,13,10800000
425,paulinho,24,12,6750000
426,paulinho,24,12,6750000
427,paulinho,22,10,360000
428,paulinho,22,10,360000
429,paulinho,22,10,360000
430,paulinho,21,9,158000
431,paulinho,20,8,158000
432,paulinho,19,7,158000
433,paulinho,19,7,158000
434,paulinho,18,6,158000
435,phil-kemper,17,19,158000
436,phil-kemper,15,17,158000
437,ramazan-ozcan,36,20,315000
438,ramazan-ozcan,32,16,1130000
439,ramazan-ozcan,27,11,225000
440,ramazan-ozcan,26,10,270000
441,ramazan-ozcan,26,10,540000
442,ramazan-ozcan,24,8,1130000
443,ramazan-ozcan,24,8,1130000
444,ramazan-ozcan,24,8,270000
445,ramazan-ozcan,22,6,315000
446,ramazan-ozcan,19,3,315000
447,ramazan-ozcan,18,2,315000
448,ramazan-ozcan,16,0,315000
449,ramazan-ozcan,14,98,315000
450,sven-bender,28,17,6300000
451,sven-bender,20,9,1080000
452,sven-bender,17,6,45000
453,sven-bender,15,4,45000
454,sven-bender,13,2,45000
455,sven-bender,10,99,45000
456,wendell,21,14,2700000
457,wendell,20,13,2700000
458,wendell,19,12,2700000
459,wendell,19,12,2700000
460,achraf-hakimi,21,20,48600000
461,achraf-hakimi,21,20,48600000
462,achraf-hakimi,19,18,4500000
463,achraf-hakimi,18,17,270000
464,achraf-hakimi,17,16,270000
465,achraf-hakimi,16,15,270000
466,axel-witsel,29,18,18000000
467,axel-witsel,28,17,18000000
468,axel-witsel,23,12,18000000
469,axel-witsel,22,11,9000000
470,axel-witsel,17,6,9000000
471,axel-witsel,16,5,9000000
472,axel-witsel,15,4,9000000
473,emre-can,26,20,21600000
474,emre-can,26,20,21600000
475,emre-can,26,20,27000000
476,emre-can,24,18,27000000
477,emre-can,20,14,6750000
478,emre-can,19,13,1350000
479,emre-can,18,12,540000
480,emre-can,17,11,540000
481,emre-can,16,10,540000
482,emre-can,15,9,540000
483,emre-can,12,6,540000
484,erling-haaland,20,20,40500000
485,erling-haaland,19,19,4500000
486,erling-haaland,17,17,180000
487,erling-haaland,15,15,4500000
488,giovanni-reyna,17,20,4500000
489,giovanni-reyna,16,19,4500000
490,jadon-sancho,17,17,4500000
491,jadon-sancho,16,16,4500000
492,jadon-sancho,15,15,4500000
493,julian-brandt,23,19,45000000
494,julian-brandt,18,14,45000000
495,julian-brandt,16,12,45000000
496,julian-brandt,15,11,45000000
497,julian-brandt,13,9,45000000
498,leonardo-balerdi,22,21,6750000
499,leonardo-balerdi,21,20,6480000
500,leonardo-balerdi,20,19,2250000
501,leonardo-balerdi,19,18,2250000
502,leonardo-balerdi,18,17,2250000
503,lukasz-piszczek,36,21,1800000
504,lukasz-piszczek,25,10,2250000
505,lukasz-piszczek,22,7,1170000
506,lukasz-piszczek,19,4,1170000
507,lukasz-piszczek,19,4,1170000
508,lukasz-piszczek,16,1,1170000
509,mahmoud-dahoud,21,17,13500000
510,mahmoud-dahoud,17,13,13500000
511,mahmoud-dahoud,15,11,13500000
512,mahmoud-dahoud,14,10,13500000
513,manuel-akanji,23,18,4500000
514,manuel-akanji,20,15,225000
515,manuel-akanji,19,14,225000
516,manuel-akanji,18,13,225000
517,immanuel-pherai,20,21,720000
518,immanuel-pherai,19,20,720000
519,immanuel-pherai,19,20,720000
520,immanuel-pherai,17,18,720000
521,immanuel-pherai,16,17,720000
522,immanuel-pherai,15,16,720000
523,immanuel-pherai,12,13,720000
524,marcel-schmelzer,20,8,45000
525,marcel-schmelzer,19,7,45000
526,marcel-schmelzer,17,5,45000
527,marcel-schmelzer,15,3,45000
528,marcel-schmelzer,14,2,45000
529,marco-reus,23,12,18000000
530,marco-reus,20,9,900000
531,marco-reus,19,8,45000
532,marco-reus,17,6,45000
533,marco-reus,16,5,45000
534,marco-reus,15,4,45000
535,marco-reus,6,95,45000
536,mario-gotze,28,20,9450000
537,mario-gotze,24,16,31500000
538,mario-gotze,21,13,40500000
539,mario-gotze,18,10,900000
540,mario-gotze,16,8,900000
541,mario-gotze,15,7,900000
