name,age,date,mv
immanuel-pherai,19,20,720000
immanuel-pherai,17,18,720000
immanuel-pherai,16,17,720000
immanuel-pherai,15,16,720000
immanuel-pherai,12,13,720000
marcel-schmelzer,20,8,45000
marcel-schmelzer,19,7,45000
marcel-schmelzer,17,5,45000
marcel-schmelzer,15,3,45000
marcel-schmelzer,14,2,45000
marco-reus,23,12,18000000
marco-reus,20,9,900000
marco-reus,19,8,45000
marco-reus,17,6,45000
marco-reus,16,5,45000
marco-reus,15,4,45000
marco-reus,6,95,45000
mario-gotze,28,20,9450000
mario-gotze,24,16,31500000
mario-gotze,21,13,40500000
mario-gotze,18,10,900000
mario-gotze,16,8,900000
mario-gotze,15,7,900000
mario-gotze,9,1,900000
mario-gotze,6,98,900000
marwin-hitz,31,18,3600000
marwin-hitz,26,13,405000
marwin-hitz,21,8,45000
marwin-hitz,21,7,45000
marwin-hitz,20,7,45000
marwin-hitz,18,5,45000
mateu-morey,19,19,270000
mateu-morey,17,17,270000
mateu-morey,15,15,270000
mats-hummels,30,19,31500000
mats-hummels,27,16,34200000
mats-hummels,20,9,3600000
mats-hummels,19,8,225000
mats-hummels,18,7,135000
mats-hummels,17,6,45000
mats-hummels,16,5,45000
mats-hummels,14,3,45000
nico-schulz,26,19,22500000
nico-schulz,24,17,1800000
nico-schulz,22,15,3150000
nico-schulz,17,10,3150000
nico-schulz,16,9,3150000
nico-schulz,15,8,3150000
nico-schulz,7,0,3150000
raphael-guerreiro,22,16,8100000
raphael-guerreiro,19,13,1350000
raphael-guerreiro,18,12,1350000
raphael-guerreiro,16,10,1350000
roman-burki,24,15,5400000
roman-burki,23,14,2250000
roman-burki,22,13,1580000
roman-burki,20,11,225000
roman-burki,19,10,123750
roman-burki,19,9,90000
roman-burki,18,9,45000
roman-burki,17,8,45000
roman-burki,16,7,45000
roman-burki,14,5,45000
thomas-delaney,27,18,10800000
thomas-delaney,26,17,3150000
thomas-delaney,18,9,90000
thomas-delaney,16,7,3150000
thorgan-hazard,26,19,34200000
thorgan-hazard,22,15,9000000
thorgan-hazard,21,14,9000000
thorgan-hazard,19,12,450000
thorgan-hazard,18,11,450000
thorgan-hazard,17,10,450000
thorgan-hazard,14,7,450000
alassane-plea,25,18,16200000
alassane-plea,21,14,750000
alassane-plea,19,12,675000
alassane-plea,18,11,675000
breel-embolo,22,19,12600000
breel-embolo,19,16,18000000
breel-embolo,17,14,90000
breel-embolo,16,13,90000
breel-embolo,15,12,90000
breel-embolo,13,10,90000
christoph-kramer,25,16,10800000
christoph-kramer,24,15,10800000
christoph-kramer,22,13,1350000
christoph-kramer,20,11,67500
christoph-kramer,19,10,45000
christoph-kramer,17,8,45000
christoph-kramer,15,6,45000
christoph-kramer,9,0,45000
denis-zakaria,20,17,3600000
denis-zakaria,18,15,90000
denis-zakaria,17,14,90000
fabian-johnson,32,20,1440000
fabian-johnson,26,14,3600000
